dataset,subset,assay,model_size,precision,backend,metric_name,metric_value,pytorch_metric,delta_from_pytorch,threshold,passed,variants,cache_dir,error
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_m,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,spearman,-0.6400492720492721,-0.6352008491064517,-0.004848422942820396,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,pearson,-0.631680617232991,-0.6279587324448758,-0.003721884788115193,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,kendall_tau_b,-0.4733853853853854,-0.46954401355780634,-0.003841371827579043,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,top10_overlap,0.08,0.08,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,AMFR_HUMAN_Tsuboyama_2023_4G3O,300m,q4_k_s,cpu,bottom10_overlap,0.0,0.0,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,pytorch,pytorch,spearman,0.22620443956166617,0.22620443956166617,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,pytorch,pytorch,pearson,0.17205268053425815,0.17205268053425815,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,pytorch,pytorch,kendall_tau_b,0.1525368419159051,0.1525368419159051,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,pytorch,pytorch,top10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,pytorch,pytorch,bottom10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,f16,cpu,spearman,0.22532838603232666,0.22620443956166617,-0.0008760535293395044,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,f16,cpu,pearson,0.1715428728725296,0.17205268053425815,-0.0005098076617285618,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,f16,cpu,kendall_tau_b,0.1519805885120832,0.1525368419159051,-0.0005562534038218991,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,f16,cpu,top10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,f16,cpu,bottom10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q8_0,cpu,spearman,0.21695779425954098,0.22620443956166617,-0.009246645302125184,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q8_0,cpu,pearson,0.16442158891498632,0.17205268053425815,-0.007631091619271835,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q8_0,cpu,kendall_tau_b,0.14605434645544074,0.1525368419159051,-0.006482495460464366,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q8_0,cpu,top10_overlap,0.18,0.17,0.009999999999999981,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q8_0,cpu,bottom10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_m,cpu,spearman,0.23419125300154803,0.22620443956166617,0.007986813439881862,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_m,cpu,pearson,0.1749557638695808,0.17205268053425815,0.0029030833353226593,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_m,cpu,kendall_tau_b,0.15775438540420914,0.1525368419159051,0.005217543488304027,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_m,cpu,top10_overlap,0.14,0.17,-0.03,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_m,cpu,bottom10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_s,cpu,spearman,0.2330776850776851,0.22620443956166617,0.006873245516018922,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_s,cpu,pearson,0.18085565621704222,0.17205268053425815,0.00880297568278407,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_s,cpu,kendall_tau_b,0.15757357357357357,0.1525368419159051,0.005036731657668464,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_s,cpu,top10_overlap,0.18,0.17,0.009999999999999981,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,CBX4_HUMAN_Tsuboyama_2023_2K28,300m,q4_k_s,cpu,bottom10_overlap,0.17,0.17,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,pytorch,pytorch,spearman,0.3849809527556671,0.3849809527556671,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,pytorch,pytorch,pearson,0.2897928008493825,0.2897928008493825,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,pytorch,pytorch,kendall_tau_b,0.24902426939385675,0.24902426939385675,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,pytorch,pytorch,top10_overlap,0.14,0.14,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,pytorch,pytorch,bottom10_overlap,0.11,0.11,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,f16,cpu,spearman,0.3861871254556165,0.3849809527556671,0.0012061726999493816,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,f16,cpu,pearson,0.29078430898188296,0.2897928008493825,0.0009915081325004294,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,f16,cpu,kendall_tau_b,0.24987187085382462,0.24902426939385675,0.0008476014599678727,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,f16,cpu,top10_overlap,0.14,0.14,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,f16,cpu,bottom10_overlap,0.12,0.11,0.009999999999999995,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q8_0,cpu,spearman,0.3855608316576092,0.3849809527556671,0.0005798789019420547,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q8_0,cpu,pearson,0.28915926385671653,0.2897928008493825,-0.0006335369926659951,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q8_0,cpu,kendall_tau_b,0.24970545339769545,0.24902426939385675,0.0006811840038387085,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q8_0,cpu,top10_overlap,0.16,0.14,0.01999999999999999,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q8_0,cpu,bottom10_overlap,0.13,0.11,0.020000000000000004,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q8_0_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_m,cpu,spearman,0.3847168299500339,0.3849809527556671,-0.00026412280563320456,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_m,cpu,pearson,0.2926791544596686,0.2897928008493825,0.002886353610286052,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_m,cpu,kendall_tau_b,0.24776574788180136,0.24902426939385675,-0.0012585215120553828,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_m,cpu,top10_overlap,0.15,0.14,0.009999999999999981,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_m,cpu,bottom10_overlap,0.1,0.11,-0.009999999999999995,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_m_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_s,cpu,spearman,0.3591434363757273,0.3849809527556671,-0.025837516379939807,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_s,cpu,pearson,0.27661007538556126,0.2897928008493825,-0.013182725463821265,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_s,cpu,kendall_tau_b,0.23123392763045494,0.24902426939385675,-0.0177903417634018,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_s,cpu,top10_overlap,0.16,0.14,0.01999999999999999,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,MAFG_MOUSE_Tsuboyama_2023_1K1V,300m,q4_k_s,cpu,bottom10_overlap,0.13,0.11,0.020000000000000004,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/q4_k_s_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,pytorch,pytorch,spearman,-0.010693150789389146,-0.010693150789389146,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,pytorch,pytorch,pearson,0.0358256864480264,0.0358256864480264,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,pytorch,pytorch,kendall_tau_b,-0.006672692710819009,-0.006672692710819009,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,pytorch,pytorch,top10_overlap,0.11,0.11,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,pytorch,pytorch,bottom10_overlap,0.16,0.16,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/pytorch,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,f16,cpu,spearman,-0.010298608483983437,-0.010693150789389146,0.00039454230540570887,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,f16,cpu,pearson,0.03684932872489323,0.0358256864480264,0.0010236422768668263,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,f16,cpu,kendall_tau_b,-0.0064985375288711365,-0.006672692710819009,0.0001741551819478722,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,f16,cpu,top10_overlap,0.11,0.11,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
ProteinGym,DMS substitutions,ODP2_GEOSE_Tsuboyama_2023_1W4G,300m,f16,cpu,bottom10_overlap,0.16,0.16,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_10k/f16_cpu,
