model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,model_path,model_file_size_bytes,peak_rss_bytes,peak_rss_mib,machine_budget_bytes,budget_pass,success,returncode,elapsed_s,notes,error
300m,q8_0,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,759693312,724.5,38654705664,True,True,0,0.6099698749603704,single mean-pooled embed,
300m,q8_0,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q8_0.gguf,353241024,767639552,732.078125,38654705664,True,True,0,0.5911486669792794,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,549715968,524.25,38654705664,True,True,0,0.594022584031336,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,551452672,525.90625,38654705664,True,True,0,0.5809508750098757,single mean-pooled embed,
300m,q4_k_m,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_M.gguf,248985024,559153152,533.25,38654705664,True,True,0,0.5809864999609999,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,530137088,505.578125,38654705664,True,True,0,0.5769215420004912,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,532119552,507.46875,38654705664,True,True,0,0.5864162090001628,single mean-pooled embed,
300m,q4_k_s,esmc.cpp,metal,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/models/esmc-300m-Q4_K_S.gguf,239193024,539754496,514.75,38654705664,True,True,0,0.6027249999460764,single mean-pooled embed,
300m,f32,pytorch,pytorch_cpu,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1547649024,1475.953125,38654705664,True,True,0,8.302147292008158,single PyTorch forward,
300m,f32,pytorch,pytorch_cpu,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1576747008,1503.703125,38654705664,True,True,0,1.1672431670012884,single PyTorch forward,
300m,f32,pytorch,pytorch_cpu,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,1652785152,1576.21875,38654705664,True,True,0,1.7416903750272468,single PyTorch forward,
300m,f32,pytorch,pytorch_mps,short_50,short,45,47,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,285687808,272.453125,38654705664,True,True,0,2.168958250025753,single PyTorch forward,
300m,f32,pytorch,pytorch_mps,medium_250,medium,233,235,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,286441472,273.171875,38654705664,True,True,0,1.5567088749958202,single PyTorch forward,
300m,f32,pytorch,pytorch_mps,long_1024_seed,long,848,850,/Users/ananyapathak/Desktop/oss/esmc.cpp/esmc-300m/model.safetensors,1332036392,293109760,279.53125,38654705664,True,True,0,1.5462272919830866,single PyTorch forward,
