dataset,subset,assay,model_size,precision,backend,metric_name,metric_value,pytorch_metric,delta_from_pytorch,threshold,passed,variants,cache_dir,error
ProteinGym,DMS substitutions,TCRG1_MOUSE_Tsuboyama_2023_1E0L,300m,pytorch,pytorch,spearman,-0.0029855430213695374,-0.0029855430213695374,0.0,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_1k/pytorch,
ProteinGym,DMS substitutions,TCRG1_MOUSE_Tsuboyama_2023_1E0L,300m,f16,cpu,spearman,-0.00299883304381554,-0.0029855430213695374,-1.3290022446002525e-05,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_1k/f16_cpu,
ProteinGym,DMS substitutions,TCRG1_MOUSE_Tsuboyama_2023_1E0L,300m,q8_0,cpu,spearman,0.004030984115634783,-0.0029855430213695374,0.00701652713700432,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_1k/q8_0_cpu,
ProteinGym,DMS substitutions,TCRG1_MOUSE_Tsuboyama_2023_1E0L,300m,q4_k_m,cpu,spearman,-0.0002165822185314585,-0.0029855430213695374,0.002768960802838079,0.01,True,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_1k/q4_k_m_cpu,
ProteinGym,DMS substitutions,TCRG1_MOUSE_Tsuboyama_2023_1E0L,300m,q4_k_s,cpu,spearman,0.01200102010902929,-0.0029855430213695374,0.014986563130398829,0.01,False,1000,/Users/ananyapathak/Desktop/oss/esmc.cpp/results/downstream_cache/300m_1k/q4_k_s_cpu,
