model_size,precision,implementation,backend,sequence_name,sequence_bucket,sequence_length,token_count,warmup,iterations,median_latency_ms,p95_latency_ms,seq_per_s,residues_per_s,tokens_per_s,total_time_s,error
300m,f16,esmc.cpp,cpu,short_50,short,45,47,10,1000,165.06231250000002,217.985333,5.785980582476762,260.36912621145433,271.94108737640784,172.831551324,
300m,f16,esmc.cpp,cpu,medium_250,medium,233,235,10,1000,608.95475,623.361167,1.6458586159744093,383.4850575220373,386.77677475398616,607.5856032190001,
300m,f16,esmc.cpp,cpu,long_1024_seed,long,848,850,10,1000,2933.448166,3882.712833,0.3297291523783043,279.61032121680205,280.26977952155863,3032.792195616,
300m,f16,esmc.cpp,metal,short_50,short,45,47,10,1000,114.434708,122.793334,8.759688844270892,394.1859979921901,411.7053756807319,114.159306087,
300m,f16,esmc.cpp,metal,medium_250,medium,233,235,10,1000,211.337625,223.817875,4.728258838025636,1101.6843092599731,1111.1408269360245,211.49434374400002,
300m,f16,esmc.cpp,metal,long_1024_seed,long,848,850,10,1000,774.5365835,1013.987417,1.2632411676297168,1071.22851015,1073.7549924852594,791.6144799780001,
300m,f32,pytorch,pytorch_cpu,short_50,short,45,47,10,1000,96.13627100770827,103.32100000232458,10.289064829777569,463.00791733999057,483.5860469995457,97.19056265501422,
300m,f32,pytorch,pytorch_cpu,medium_250,medium,233,235,10,1000,218.63608350395225,228.85716700693592,4.605402450855795,1073.0587710494003,1082.2695759511118,217.13628953625448,
300m,f32,pytorch,pytorch_cpu,long_1024_seed,long,848,850,10,1000,570.9718755097128,587.2402920213062,1.74688285156576,1481.3566581277644,1484.8504238308958,572.448232063005,
300m,f32,pytorch,pytorch_mps,short_50,short,45,47,10,1000,33.626832999289036,36.037790996488184,29.332562447971526,1319.9653101587187,1378.6304350546616,34.09180502977688,
300m,f32,pytorch,pytorch_mps,medium_250,medium,233,235,10,1000,98.1374999973923,102.2286250081379,10.097530832676362,2352.7246840135927,2372.919745678945,99.03411205875454,
300m,f32,pytorch,pytorch_mps,long_1024_seed,long,848,850,10,1000,350.94052100612316,362.181958014844,2.827916548323606,2398.073232978418,2403.729066075065,353.61722416908015,
